day,hour_of_day,transaction_type,old_balance_orig,amount,new_balance_orig,balance_change_orig,old_balance_dest,new_balance_dest,balance_change_dest,dest_is_merchant,zero_orig_balance,is_fraud,fraud_label
1,20,CASH_OUT,0.0,229073.18,0.0,0.0,834104.33,1063177.51,229073.18,0,1,0,legitimate
2,17,CASH_OUT,21468.0,105304.62,0.0,-21468.0,0.0,105304.62,105304.62,0,0,0,legitimate
2,17,CASH_IN,7214.0,291328.49,298542.49,291328.49,3985.2,0.0,-3985.2,0,0,0,legitimate
4,21,TRANSFER,315654.19,315654.19,0.0,-315654.19,0.0,0.0,0.0,0,0,1,fraud
1,19,CASH_IN,5981246.5,115674.18,6096920.68,115674.18,1306798.82,1191124.65,-115674.17,0,0,0,legitimate
1,7,PAYMENT,30139.05,4759.64,25379.4,-4759.65,0.0,0.0,0.0,1,0,0,legitimate
2,20,CASH_OUT,638.0,171727.85,0.0,-638.0,601634.63,773362.49,171727.86,0,0,0,legitimate
2,22,CASH_OUT,0.0,28435.31,0.0,0.0,200561.27,228996.57,28435.3,0,1,0,legitimate
2,9,TRANSFER,0.0,585710.34,0.0,0.0,1675945.31,2261655.65,585710.34,0,1,0,legitimate
1,18,PAYMENT,324395.84,15513.82,308882.03,-15513.81,0.0,0.0,0.0,1,0,0,legitimate
1,13,CASH_IN,2711801.48,137610.23,2849411.71,137610.23,326792.96,263625.65,-63167.31,0,0,0,legitimate
1,8,CASH_IN,11043558.0,23111.36,11066669.36,23111.36,202249.96,124781.67,-77468.29,0,0,0,legitimate
2,12,CASH_OUT,276.0,30010.36,0.0,-276.0,0.0,30010.36,30010.36,0,0,0,legitimate
2,19,CASH_OUT,696.0,28462.42,0.0,-696.0,639167.84,667630.26,28462.42,0,0,0,legitimate
1,16,PAYMENT,39141.36,5400.92,33740.44,-5400.92,0.0,0.0,0.0,1,0,0,legitimate
1,13,CASH_OUT,2979.0,72877.32,0.0,-2979.0,135538.17,215713.22,80175.05,0,0,0,legitimate
2,17,PAYMENT,0.0,3578.3,0.0,0.0,0.0,0.0,0.0,1,1,0,legitimate
2,16,CASH_OUT,0.0,722341.13,0.0,0.0,0.0,722341.13,722341.13,0,1,0,legitimate
2,18,CASH_IN,1024085.76,248820.15,1272905.9,248820.14,1322993.41,1074173.26,-248820.15,0,0,0,legitimate
2,6,CASH_OUT,19016.22,19016.22,0.0,-19016.22,9347999.52,9367015.74,19016.22,0,0,1,fraud
1,8,CASH_IN,16777021.34,90778.78,16867800.12,90778.78,383848.01,208520.8,-175327.21,0,0,0,legitimate
1,10,CASH_OUT,0.0,80133.57,0.0,0.0,378516.39,1724492.94,1345976.55,0,1,0,legitimate
1,11,PAYMENT,8047.0,17923.75,0.0,-8047.0,0.0,0.0,0.0,1,0,0,legitimate
1,16,CASH_IN,3293038.69,160923.95,3453962.63,160923.94,979391.46,309772.89,-669618.57,0,0,0,legitimate
1,10,PAYMENT,307579.44,20204.08,287375.37,-20204.07,0.0,0.0,0.0,1,0,0,legitimate
1,20,CASH_OUT,78767.56,109346.8,0.0,-78767.56,639488.19,748835.0,109346.81,0,0,0,legitimate
2,20,CASH_IN,15699.0,289316.02,305015.02,289316.02,15636.04,0.0,-15636.04,0,0,0,legitimate
2,10,CASH_OUT,0.0,377106.12,0.0,0.0,409273.67,816425.86,407152.19,0,1,0,legitimate
2,13,TRANSFER,31556.78,1315200.72,0.0,-31556.78,2328583.69,3643784.41,1315200.72,0,0,0,legitimate
1,12,CASH_OUT,0.0,168204.77,0.0,0.0,1772153.15,2116423.1,344269.95,0,1,0,legitimate
1,21,PAYMENT,0.0,6035.43,0.0,0.0,0.0,0.0,0.0,1,1,0,legitimate
1,12,PAYMENT,81245.78,3218.69,78027.08,-3218.7,0.0,0.0,0.0,1,0,0,legitimate
2,12,CASH_OUT,0.0,194125.81,0.0,0.0,8313040.51,8507166.32,194125.81,0,1,0,legitimate
1,17,CASH_IN,2285732.78,32926.0,2318658.78,32926.0,3073777.92,3044818.3,-28959.62,0,0,0,legitimate
2,14,CASH_IN,8636472.02,327619.86,8964091.88,327619.86,1626615.61,1298995.75,-327619.86,0,0,0,legitimate
1,14,CASH_OUT,0.0,207115.51,0.0,0.0,862180.06,2409836.58,1547656.52,0,1,0,legitimate
1,19,CASH_OUT,288695.87,51935.04,236760.83,-51935.04,69951.74,121886.77,51935.03,0,0,0,legitimate
1,13,TRANSFER,0.0,790964.43,0.0,0.0,2140826.82,2931791.26,790964.44,0,1,0,legitimate
1,20,CASH_IN,2389556.5,111881.36,2501437.86,111881.36,626503.7,514622.34,-111881.36,0,0,0,legitimate
2,19,CASH_OUT,12205.0,30162.31,0.0,-12205.0,1442177.45,1472339.76,30162.31,0,0,0,legitimate
1,19,TRANSFER,572.0,393892.53,0.0,-572.0,6233335.81,6627228.34,393892.53,0,0,0,legitimate
1,13,PAYMENT,632760.45,22328.17,610432.27,-22328.18,0.0,0.0,0.0,1,0,0,legitimate
2,12,CASH_OUT,104884.0,279282.69,0.0,-104884.0,250575.68,863093.42,612517.74,0,0,0,legitimate
4,8,CASH_OUT,244814.12,244814.12,0.0,-244814.12,7106855.47,7351669.59,244814.12,0,0,1,fraud
2,11,CASH_OUT,7091.0,209206.39,0.0,-7091.0,2961191.95,3170398.34,209206.39,0,0,0,legitimate
2,13,CASH_OUT,0.0,210033.53,0.0,0.0,335346.38,928934.31,593587.93,0,1,0,legitimate
1,22,CASH_OUT,2602.0,105434.79,0.0,-2602.0,1790075.92,1895510.7,105434.78,0,0,0,legitimate
1,15,CASH_OUT,224244.15,158833.17,65410.99,-158833.16,31074.0,0.0,-31074.0,0,0,0,legitimate
2,14,CASH_OUT,79765.0,80912.75,0.0,-79765.0,243467.81,717714.97,474247.16,0,0,0,legitimate
1,13,PAYMENT,0.0,14172.06,0.0,0.0,0.0,0.0,0.0,1,1,0,legitimate
1,20,PAYMENT,10874.0,4845.7,6028.3,-4845.7,0.0,0.0,0.0,1,0,0,legitimate
1,16,CASH_OUT,0.0,190003.32,0.0,0.0,3788766.41,4308100.3,519333.89,0,1,0,legitimate
